,index,along_track,time,x,y,xtilt,atilt,code,shifts,range_shift,npeaks
97,609,12.5892095348581,1696329531.38477,-30.4747576727532,-13.07163096976,-0.0881272926926613,0.496817529201508,609kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,4
98,610,13.1687260322637,1696329531.84959,-30.312234994024,-12.5087773635751,-0.462668299674988,-0.692900955677033,610kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,6
99,611,13.1687260322637,1696329532.31445,-30.312234994024,-12.5087773635751,-0.462668299674988,-0.692900955677033,611kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,4
100,612,13.2773194351865,1696329532.77942,-30.2567715058103,-12.4146869771648,-0.462668299674988,-0.692900955677033,612kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,5
101,613,13.2773194351865,1696329533.24404,-30.2567715058103,-12.4146869771648,-1.16768670082092,2.47968173027039,613kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,3
102,614,13.611101313877,1696329533.70896,-30.1176388016902,-12.1112824986922,-1.16768670082092,2.47968173027039,614kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
103,615,13.611101313877,1696329534.17377,-30.1176388016902,-12.1112824986922,-0.0660954713821411,0.84932678937912,615kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,3
104,616,13.611101313877,1696329534.63871,-30.1176388016902,-12.1112824986922,-0.0660954713821411,0.84932678937912,616kuka_stare_decon_Ku-Scat20231003-103408.nc,67,1.810908203125,1
105,617,14.2108115591851,1696329535.10352,-29.8906847620383,-11.5557240940398,-0.969400227069855,-0.10905747115612,617kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,3
106,618,14.2108115591851,1696329535.56846,-29.8906847620383,-11.5557240940398,-0.969400227069855,-0.10905747115612,618kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,4
107,619,14.7334039999195,1696329536.03318,-29.6818776582368,-11.0766110833501,-1.17870259284973,2.3474907875061,619kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,2
108,620,14.7334039999195,1696329536.49803,-29.6818776582368,-11.0766110833501,-1.17870259284973,2.3474907875061,620kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,2
109,4,14.8558085642866,1696329550.4432,-29.5910832127556,-10.9833632793743,-1.66340267658234,0.100244715809822,4kuka_stare_decon_Ku-Scat20231003-103908.nc,38,1.58965576171875,2
110,5,14.9227985358387,1696329550.90805,-29.5641752984375,-10.9220082431566,-1.66340267658234,0.100244715809822,5kuka_stare_decon_Ku-Scat20231003-103908.nc,37,1.5820263671875,3
111,6,14.9227985358387,1696329551.37305,-29.5641752984375,-10.9220082431566,-1.29987764358521,-0.241248413920403,6kuka_stare_decon_Ku-Scat20231003-103908.nc,36,1.57439697265625,3
112,7,15.2029538437092,1696329551.83782,-29.4551067361608,-10.6638465711148,-1.29987764358521,-0.241248413920403,7kuka_stare_decon_Ku-Scat20231003-103908.nc,42,1.62017333984375,2
113,8,15.2029538437092,1696329552.30275,-29.4551067361608,-10.6638465711148,-1.48714804649353,1.10269284248352,8kuka_stare_decon_Ku-Scat20231003-103908.nc,39,1.59728515625,3
114,9,15.347844549529,1696329552.76761,-29.3984779929742,-10.530432265834,-1.48714804649353,1.10269284248352,9kuka_stare_decon_Ku-Scat20231003-103908.nc,37,1.5820263671875,3
115,10,15.347844549529,1696329553.23254,-29.3984779929742,-10.530432265834,-1.48714804649353,1.10269284248352,10kuka_stare_decon_Ku-Scat20231003-103908.nc,37,1.5820263671875,3
116,11,15.5785695287178,1696329553.69732,-29.3136955681257,-10.3155399749521,-0.837209284305573,0.111260607838631,11kuka_stare_decon_Ku-Scat20231003-103908.nc,34,1.55913818359375,4
117,12,15.5785695287178,1696329554.16227,-29.3136955681257,-10.3155399749521,-0.837209284305573,0.111260607838631,12kuka_stare_decon_Ku-Scat20231003-103908.nc,40,1.60491455078125,3
118,41,15.6152929747804,1696329567.64252,-29.3040000847541,-10.2796177987475,-0.70501834154129,0.595960795879364,41kuka_stare_decon_Ku-Scat20231003-103908.nc,38,1.58965576171875,3
119,42,15.6152929747804,1696329568.10733,-29.3040000847541,-10.2796177987475,-0.70501834154129,0.595960795879364,42kuka_stare_decon_Ku-Scat20231003-103908.nc,38,1.58965576171875,3
120,43,15.6152929747804,1696329568.57232,-29.3040000847541,-10.2796177987475,-0.70501834154129,0.595960795879364,43kuka_stare_decon_Ku-Scat20231003-103908.nc,35,1.566767578125,3
121,44,15.977161309982,1696329569.03705,-29.1694334400818,-9.94332643656526,-0.815177500247955,-0.692900955677033,44kuka_stare_decon_Ku-Scat20231003-103908.nc,38,1.58965576171875,4
122,45,15.977161309982,1696329569.50198,-29.1694334400818,-9.94332643656526,-0.815177500247955,-0.692900955677033,45kuka_stare_decon_Ku-Scat20231003-103908.nc,38,1.58965576171875,3
123,46,16.6622552883676,1696329569.96671,-28.9073205012828,-9.31000356317963,-0.859241127967835,-1.46401476860046,46kuka_stare_decon_Ku-Scat20231003-103908.nc,42,1.62017333984375,2
124,47,16.6622552883676,1696329570.43157,-28.9073205012828,-9.31000356317963,-0.859241127967835,-1.46401476860046,47kuka_stare_decon_Ku-Scat20231003-103908.nc,39,1.59728515625,2
