,hh,hv,vv,vh
240,-2.1209716796875,-2.12860107421875,-2.1209716796875,-2.1209716796875
241,-2.11334228515625,-2.1209716796875,-2.11334228515625,-2.11334228515625
242,-2.105712890625,-2.11334228515625,-2.105712890625,-2.105712890625
243,-2.09808349609375,-2.105712890625,-2.09808349609375,-2.09808349609375
244,-2.0904541015625,-2.09808349609375,-2.0904541015625,-2.0904541015625
245,-2.08282470703125,-2.0904541015625,-2.08282470703125,-2.08282470703125
246,-2.0751953125,-2.08282470703125,-2.0751953125,-2.0751953125
247,-2.06756591796875,-2.0751953125,-2.06756591796875,-2.06756591796875
248,-2.0599365234375,-2.06756591796875,-2.0599365234375,-2.0599365234375
249,-2.05230712890625,-2.0599365234375,-2.05230712890625,-2.05230712890625
250,-2.044677734375,-2.05230712890625,-2.044677734375,-2.044677734375
251,-2.03704833984375,-2.044677734375,-2.03704833984375,-2.03704833984375
252,-2.0294189453125,-2.03704833984375,-2.0294189453125,-2.0294189453125
253,-2.02178955078125,-2.0294189453125,-2.02178955078125,-2.02178955078125
254,-2.01416015625,-2.02178955078125,-2.01416015625,-2.01416015625
255,-2.00653076171875,-2.01416015625,-2.00653076171875,-2.00653076171875
256,-1.9989013671875,-2.00653076171875,-1.9989013671875,-1.9989013671875
257,-1.99127197265625,-1.9989013671875,-1.99127197265625,-1.99127197265625
258,-1.983642578125,-1.99127197265625,-1.983642578125,-1.983642578125
259,-1.97601318359375,-1.983642578125,-1.97601318359375,-1.97601318359375
260,-1.9683837890625,-1.97601318359375,-1.9683837890625,-1.9683837890625
261,-1.96075439453125,-1.9683837890625,-1.96075439453125,-1.96075439453125
262,-1.953125,-1.96075439453125,-1.953125,-1.953125
263,-1.94549560546875,-1.953125,-1.94549560546875,-1.94549560546875
264,-1.9378662109375,-1.94549560546875,-1.9378662109375,-1.9378662109375
265,-1.93023681640625,-1.9378662109375,-1.93023681640625,-1.93023681640625
266,-1.922607421875,-1.93023681640625,-1.922607421875,-1.922607421875
267,-1.91497802734375,-1.922607421875,-1.91497802734375,-1.91497802734375
268,-1.9073486328125,-1.91497802734375,-1.9073486328125,-1.9073486328125
269,-1.89971923828125,-1.9073486328125,-1.89971923828125,-1.89971923828125
270,-1.89208984375,-1.89971923828125,-1.89208984375,-1.89208984375
271,-1.88446044921875,-1.89208984375,-1.88446044921875,-1.88446044921875
272,-1.8768310546875,-1.88446044921875,-1.8768310546875,-1.8768310546875
273,-1.86920166015625,-1.8768310546875,-1.86920166015625,-1.86920166015625
274,-1.861572265625,-1.86920166015625,-1.861572265625,-1.861572265625
275,-1.85394287109375,-1.861572265625,-1.85394287109375,-1.85394287109375
276,-1.8463134765625,-1.85394287109375,-1.8463134765625,-1.8463134765625
277,-1.83868408203125,-1.8463134765625,-1.83868408203125,-1.83868408203125
278,-1.8310546875,-1.83868408203125,-1.8310546875,-1.8310546875
279,-1.82342529296875,-1.8310546875,-1.82342529296875,-1.82342529296875
280,-1.8157958984375,-1.82342529296875,-1.8157958984375,-1.8157958984375
281,-1.80816650390625,-1.8157958984375,-1.80816650390625,-1.80816650390625
282,-1.800537109375,-1.80816650390625,-1.800537109375,-1.800537109375
283,-1.79290771484375,-1.800537109375,-1.79290771484375,-1.79290771484375
284,-1.7852783203125,-1.79290771484375,-1.7852783203125,-1.7852783203125
285,-1.77764892578125,-1.7852783203125,-1.77764892578125,-1.77764892578125
286,-1.77001953125,-1.77764892578125,-1.77001953125,-1.77001953125
287,-1.76239013671875,-1.77001953125,-1.76239013671875,-1.76239013671875
288,-1.7547607421875,-1.76239013671875,-1.7547607421875,-1.7547607421875
289,-1.74713134765625,-1.7547607421875,-1.74713134765625,-1.74713134765625
290,-1.739501953125,-1.74713134765625,-1.739501953125,-1.739501953125
291,-1.73187255859375,-1.739501953125,-1.73187255859375,-1.73187255859375
292,-1.7242431640625,-1.73187255859375,-1.7242431640625,-1.7242431640625
293,-1.71661376953125,-1.7242431640625,-1.71661376953125,-1.71661376953125
294,-1.708984375,-1.71661376953125,-1.708984375,-1.708984375
295,-1.70135498046875,-1.708984375,-1.70135498046875,-1.70135498046875
296,-1.6937255859375,-1.70135498046875,-1.6937255859375,-1.6937255859375
297,-1.68609619140625,-1.6937255859375,-1.68609619140625,-1.68609619140625
298,-1.678466796875,-1.68609619140625,-1.678466796875,-1.678466796875
299,-1.67083740234375,-1.678466796875,-1.67083740234375,-1.67083740234375
300,-1.6632080078125,-1.67083740234375,-1.6632080078125,-1.6632080078125
301,-1.65557861328125,-1.6632080078125,-1.65557861328125,-1.65557861328125
302,-1.64794921875,-1.65557861328125,-1.64794921875,-1.64794921875
303,-1.64031982421875,-1.64794921875,-1.64031982421875,-1.64031982421875
304,-1.6326904296875,-1.64031982421875,-1.6326904296875,-1.6326904296875
305,-1.62506103515625,-1.6326904296875,-1.62506103515625,-1.62506103515625
306,-1.617431640625,-1.62506103515625,-1.617431640625,-1.617431640625
307,-1.60980224609375,-1.617431640625,-1.60980224609375,-1.60980224609375
308,-1.6021728515625,-1.60980224609375,-1.6021728515625,-1.6021728515625
309,-1.59454345703125,-1.6021728515625,-1.59454345703125,-1.59454345703125
310,-1.5869140625,-1.59454345703125,-1.5869140625,-1.5869140625
311,-1.57928466796875,-1.5869140625,-1.57928466796875,-1.57928466796875
312,-1.5716552734375,-1.57928466796875,-1.5716552734375,-1.5716552734375
313,-1.56402587890625,-1.5716552734375,-1.56402587890625,-1.56402587890625
314,-1.556396484375,-1.56402587890625,-1.556396484375,-1.556396484375
315,-1.54876708984375,-1.556396484375,-1.54876708984375,-1.54876708984375
316,-1.5411376953125,-1.54876708984375,-1.5411376953125,-1.5411376953125
317,-1.53350830078125,-1.5411376953125,-1.53350830078125,-1.53350830078125
318,-1.52587890625,-1.53350830078125,-1.52587890625,-1.52587890625
319,-1.51824951171875,-1.52587890625,-1.51824951171875,-1.51824951171875
320,-1.5106201171875,-1.51824951171875,-1.5106201171875,-1.5106201171875
321,-1.50299072265625,-1.5106201171875,-1.50299072265625,-1.50299072265625
322,-1.495361328125,-1.50299072265625,-1.495361328125,-1.495361328125
323,-1.48773193359375,-1.495361328125,-1.48773193359375,-1.48773193359375
324,-1.4801025390625,-1.48773193359375,-1.4801025390625,-1.4801025390625
325,-1.47247314453125,-1.4801025390625,-1.47247314453125,-1.47247314453125
326,-1.46484375,-1.47247314453125,-1.46484375,-1.46484375
327,-1.45721435546875,-1.46484375,-1.45721435546875,-1.45721435546875
328,-1.4495849609375,-1.45721435546875,-1.4495849609375,-1.4495849609375
329,-1.44195556640625,-1.4495849609375,-1.44195556640625,-1.44195556640625
330,-1.434326171875,-1.44195556640625,-1.434326171875,-1.434326171875
331,-1.42669677734375,-1.434326171875,-1.42669677734375,-1.42669677734375
332,-1.4190673828125,-1.42669677734375,-1.4190673828125,-1.4190673828125
333,-1.41143798828125,-1.4190673828125,-1.41143798828125,-1.41143798828125
334,-1.40380859375,-1.41143798828125,-1.40380859375,-1.40380859375
335,-1.39617919921875,-1.40380859375,-1.39617919921875,-1.39617919921875
336,-1.3885498046875,-1.39617919921875,-1.3885498046875,-1.3885498046875
337,-1.38092041015625,-1.3885498046875,-1.38092041015625,-1.38092041015625
338,-1.373291015625,-1.38092041015625,-1.373291015625,-1.373291015625
339,-1.36566162109375,-1.373291015625,-1.36566162109375,-1.36566162109375
340,-1.3580322265625,-1.36566162109375,-1.3580322265625,-1.3580322265625
341,-1.35040283203125,-1.3580322265625,-1.35040283203125,-1.35040283203125
342,-1.3427734375,-1.35040283203125,-1.3427734375,-1.3427734375
